"";"name";"address";"city";"postal_code";"zone";"food";"food_sample";"ambient";"keywords";"menu";"target";"score";"opinions_count";"price";"opinions_count_log";"weekly_hours";"open_lunch";"open_dinner";"open_weekend";"latitude";"longitude";"dist_centre_km";"renda_mitjana_bruta"
"12";"RESTAURANTE DAL PRESIDENTE";"Carrer de Calàbria, 93";"Barcelona";"08015";"Sant Antoni";"Italiana";"Pinsa Margherita. Pinsa Calabrese. Pinsa Vegetariana. Pinsa la romana. Tabla de quesos y embutidos del día.";"Informal.";"Música y copas, Terraza (8 pax), Donde ver fútbol, Apto para mascotas, Mesas redondas (2).";"Unknown";"Para amigos, Para jóvenes.";9,9;447;20;6,10479323241498;86,5;TRUE;TRUE;TRUE;41,3767;2,158994;1,47484623237816;40775
"13";"RESTAURANTE BRUGAROL";"Carrer de Salomó Ben Adret, 10";"Barcelona";"08002";"Centro, El Gòtic";"De mercado, Mediterránea";"Patatas bravas estilo japonés. Codornices lacadas. Tataki de aleta azul de atún. Sashimi de corvina. Osobuco. Salmón ahumado al tomillo. Vientre de cerdo estilo chino.";"Rústico, Con encanto, Actual.";"Amantes del vino, Abierto en domingo, Acceso movilidad reducida.";"Unknown";"Para amigos, Para cenas empresa, Para negocios.";9,9;333;30;5,8111409929767;30;TRUE;TRUE;TRUE;41,3827532;2,175735;0,667082500310294;33754
"14";"RESTAURANTE BAR DONZELL";"Carrer d'Espronceda, 78";"Barcelona";"08005";"El Clot-Sant Martí";"Africana, De autor, Mediterránea";"Patatas bravas, pan con tomate, suquet de pescado, escalivada, croquetas caseras, tortilla de patatas, esqueixada, canelones caseros, crema catalana, calamares a la romana, gambas al ajillo, pa amb bacallà, fideuà, mejillones al vapor, arroz negro.";"Original, Emblemático, Informal, Tradicional, Bien calidad-precio, Con encanto, Están de moda.";"Bodega bar, Vistas, Terraza, Donde ver fútbol, Cocina Non Stop, Platos para celíacos, Económico, Acceso movilidad reducida, Después medianoche.";"Unknown";"Para grupos, Para cenas empresa, Para ir con niños, Para jóvenes, Para familias.";9,8;210;30;5,35185813347607;32;TRUE;TRUE;TRUE;41,4046182;2,2057326;3,56379028418651;46826
"15";"RESTAURANTE FINORRI";"Carrer de la Boqueria, 23";"Barcelona";"08002";"El Raval";"Catalana";"Buñuelos de bacalao. Salmón marinado. Tartar de crema de trufa. Caldo con pelota y galets. Verduras. Buñuelos de crema. Turrones. Neulas";"Informal.";"Mesas redondas, Ticket restaurant (tarjeta).";"Unknown";"Para grupos.";9,8;61;42,5;4,12713438504509;55;TRUE;TRUE;TRUE;41,3815376;2,1742127;0,698387058582275;33754
"16";"RESTAURANTE CAN MARLAU";"Carrer de París, 161";"Barcelona";"08036";"Eixample Esquerre";"Tradicional";"Orejas de cerdo. Pollo a la catalana. Rabo de toro con patata paja, Bocadillo de cerdo confitado con boniato y criolla. Bocadillo de tortilla. Albondigas  tomate. Huevos fritos con chistorra. Boquerones marinados. Tortilla de butifarra negra. Tortilla de chistorra. Croissant con jamón canario. Huevos fritos con jamón de bellota.";"Informal, Actual.";"Terraza, Brunch, Desayunos de tenedor, Ticket restaurant (tarjeta).";"Carta a precio fijo";"Para familias.";9,8;906;42,5;6,81014245011514;34,5;TRUE;TRUE;FALSE;41,3921937;2,1511389;1,68578675706202;53717
"17";"RESTAURANTE MARABINA BCN";"Carrer de Còrsega, 655";"Barcelona";"08025";"Eixample Dret, Eixample Esquerre";"Latina, Internacional, Venezolana";"Empanadas, arepas, tequeños, torreznos, mandocas, brunch venezolano, cachacón, entre muchos otros.";"Con encanto, Actual.";"Unknown";"Unknown";"Unknown";9,8;375;30;5,92958914338989;36;TRUE;TRUE;TRUE;41,4106044;2,1778994;2,707138801366;39616
"18";"RESTAURANTE MUNDO VEGAN";"Carrer de Muntaner, 106";"Barcelona";"08036";"Eixample Esquerre";"Sana, Vegetariana, Arroces, De mercado, Hamburguesas, Pizzería";"Rollitos de calabacín. Momo veggie. Hummus. Ensalada de nueces. Ensalada de quinoa. Bowl de aguacate. Bowl de frutas. Bowl basmati. Pizza Margarita. Pizza Divina. Pizza Vida Sana. Pizza Muntaner. Focaccia casera Greener. Focaccia casera Tofu. Focaccia casera Pesto Green. Espaguetis de verduras Espaguetis Funghi. Espaguetis pesto.Hamburguesa clásica. Basmati de champiñones. Basmati de albondigas. Basmati de cuscús de maíz. Vino tinto. Vino blanco. Vino rosado. Tiramisú vegana. Pastel de zanahoria. Magda mango. Pudding de calabaza. Té verde. Infusiones. Zumos naturales. Batidos.";"Original, Actual.";"Vistas, Cocina Non Stop, Económico, Comida para llevar, Abierto en domingo, Incorporación.";"Unknown";"Para amigos, Para jóvenes.";9,8;36;20;3,61091791264422;60;TRUE;TRUE;TRUE;41,3887798;2,1567483;1,13256551022383;53717
"19";"RESTAURANTE SENSATO";"Carrer de Septimània, 36";"Barcelona";"08006";"Gràcia";"Japonesa";"Único menú degustación - Nigiri de calamar con gotas de lima, de navaja con hoja de shiso, de caballa, anguila flambeada, galera, maki de jurel, gunkan de atún con yema curada de codorniz, nigiri de lomo de atún, nigiri de gamba roja con reducción del jugo de la cabeza.";"Exclusivo, Actual, Preferidos.";"Grandes chefs, Gastrobar, Nuevos.";"Menú degustación";"Para negocios.";9,8;95;60;4,56434819146784;12;TRUE;TRUE;TRUE;41,4052036;2,1468078;2,80884743878388;62977
"20";"RESTAURANTE PARISIEN";"Carrer de Dante Alighieri, 125";"Barcelona";"08032";"Horta-Guinardó";"Árabe, Internacional, Pizzería, Regional española";"Hamburguesa Tres Quesos. Hamburguesa Parisien. Hamburguesa Barbacoa. Durum de Pollo, Ternera o Mixto. Bocadillo de gamba, ternera, pollo o carne picada. Pizza Vegetariana. Pizza Parmigiana. Pizza Melazana. Pizza Diavola. Pizza Bismark. Pizza Bufala rúcula. Pizza Calzone Prosatto. Calamar rebozado. Corquetas. Alitas de pollo con patatas fritas. Nugetts de pollo. Ensalada cesar. Ensalada mixta. Ensalada de pollo con salsa rosa.";"Informal, Bien calidad-precio, Actual.";"Abierto en domingo.";"Unknown";"Para grupos, Para amigos, Para jóvenes.";9,8;1126;20;7,02731451403978;86,5;TRUE;TRUE;TRUE;41,426477;2,1549479;4,57303283169608;33334
"21";"RESTAURANTE DISÍO COCINA ITALIANA";"Carrer de Marià Cubí, 96";"Barcelona";"08021";"St Gervasi-Bonanova";"Italiana";"Tiramisú. Stromboli. Carpaccio. Ensalada de burrata. Bacalao mantecado. Carpaccio de ternera. Tartaleta de pistacho y frambuesas. Canelones. Pasta al pesto. Pasta carbonara";"Informal, Bien calidad-precio, Romántico.";"Terraza, Económico, Comida para llevar, Abierto en domingo, Acceso movilidad reducida, Ticket restaurant (tarjeta).";"Unknown";"Para amigos, Para ir con niños, Para jóvenes, Para familias.";9,8;343;20;5,8406416573734;18;TRUE;FALSE;TRUE;41,3968153;2,1470923;2,21036967132534;106734
"22";"RESTAURANTE GLORIA OSTERIA";"Carrer d'Enric Granados, 86";"Barcelona";"08008";"Eixample Dret";"Italiana";"Burrata. Carpaccio de pulpo. Vieira dorada. Ensaladilla rusa con cangrejo. Pizza caviale. Ravioli rellenos. Pasta con bogavante. Risotto cremoso. Espagueti carbonara";"Informal, Romántico.";"Terraza, Amantes del vino, Abierto en domingo, Mesas redondas, Acceso movilidad reducida, Ticket restaurant (tarjeta).";"Unknown";"Para grupos, Para ir con niños, Para familias.";9,8;6817;30;8,82732145269785;52,25;TRUE;TRUE;TRUE;41,3929586;2,1558195;1,36468074873952;70245
"23";"RESTAURANTE GASTROTECA ESPAI CLASSUAL";"Carrer de Ribas i Perdigó, 9";"Badalona";"08911";"Alrededores";"Tradicional";"Churros de patata con chocolate. Botafumeiro de pulpo. Tiramisú. Tarta de queso. Caliqueño. Cheesecake. Risotto. Croquetas. Wagyu a la piedra. Alcachofas con jamón";"Bien calidad-precio, Moderno y fashion.";"Abierto en domingo, Acceso movilidad reducida.";"Unknown";"Para grupos, Para amigos.";9,8;3467;42,5;8,15133333790043;34;TRUE;TRUE;TRUE;41,447791;2,2492695;9,45910711948571;41634
"24";"RESTAURANTE MAMA GORDA";"Carrer de Josep Torres, 25";"Barcelona";"08012";"Gràcia";"Internacional";"Tartar de atún rojo con aguacate, croquetas caseras de jamón ibérico, arroz meloso de mariscos, ensalada de burrata con tomate heirloom y albahaca, carrillera de ternera al vino tinto, galleta de chocolate y helado de vainilla, trufas de chocolate con frutos secos.";"Informal, Bien calidad-precio.";"Cocina Non Stop, Apto para mascotas, Comida para llevar, Abierto en domingo, Comida a domicilio, Acceso movilidad reducida.";"Unknown";"Para amigos, Para jóvenes.";9,8;696;20;6,54678541076052;22,5;TRUE;TRUE;TRUE;41,4012235;2,1620017;1,72173398297244;43031
"25";"RESTAURANTE ESPAI UMA";"Carrer de Mallorca, 275";"Barcelona";"08037";"Centro, Eixample Dret";"Creativa, De autor";"Pan de gambas al curry. Merengue deshidratado. Carpaccio de gambas y esfera al curry. Torta de camarón, yuzu, mayonesa de plancton, semillas de cilantro y pimentón. Falsas patatas de foie micuit. Huevo a baja temperatura con setas salteadas. Vieira con arroz cremoso del Líbano. Ternera curada durante cinco semanas.";"Exclusivo, Original, Preferidos, Están de moda.";"Grandes chefs (Iker Erauzkin), Amantes del vino.";"Menú degustación";"Unknown";9,8;1583;60;7,36770857237437;19,5;TRUE;TRUE;TRUE;41,3947417;2,1635923;1,0188600184922;50106
"26";"RESTAURANTE MAKES TAPERIA";"Avinguda de Madrid, 160";"Barcelona";"08028";"Les Corts, Sants";"Mediterránea, Regional española";"Bravas estilo Make´s. Cecina de León. Choricitos gallegos al Albariño.  Tortilla de patatas con pan de cristal. Huevos estrellados con jamón. Tiras de pollo rebozadas.  Bacalao desmigado con ajo y aceite oliva. Tabla de quesos. Mini hamburguesa de queso de cabra y cebolla caramelizada. Ensalada de queso de cabra con bacon y nueces. Tostada de queso manchego. Tostada de paletilla ibérica.";"Tradicional, Clásico, Bien calidad-precio.";"Terraza.";"Carta a precio fijo";"Para grupos, Para amigos.";9,8;722;20;6,58340922215876;33;TRUE;TRUE;TRUE;41,3802678;2,131317;3,32483471422929;41480
"27";"RESTAURANTE TEÒRIC TAVERNA GASTRONÒMICA";"Carrer de Bailèn, 117";"Barcelona";"08009";"Eixample Dret";"Catalana, Internacional, Mediterránea";"Ensaladilla rusa y ventresca de bonito. Croquetas mar y montaña. Puerros, escabeche y migas de hierbas aromáticas. Caballa, escabeche de cítricos y verduras encurtidas. Huevo, patatas, papada y guisantes. Ternera, moniato y brócoli 'romanesco'. Albóndigas y sepia. Arroz con trompetas de la muerte y bacalao.";"Informal, Rústico, Bien calidad-precio, Actual, Preferidos.";"Gastrobar, Amantes del vino.";"Unknown";"Para amigos, Para jóvenes, Para familias.";9,8;2371;30;7,77148876011762;20;TRUE;TRUE;TRUE;41,3977804;2,1693012;1,20192131757202;56187
"28";"RESTAURANTE CULTURA DULCE";"Carrer de París, 165";"Barcelona";"08036";"Eixample Esquerre";"Pastelería";"Cafe con leche. Panellets. Rol de cochinita pibil. Croissant. Pasteles pequeños. Ensaimadas. Dulces";"Bien calidad-precio, Moderno y fashion.";"Unknown";"Unknown";"Para grupos, Para amigos, Para familias.";9,8;232;20;5,4510384535657;46;TRUE;TRUE;TRUE;41,3923056;2,1512877;1,67846018089679;53717
"29";"RESTAURANTE LA PAU";"Carrer de Josep Anselm Clavé, 19";"Barcelona";"08002";"El Gòtic";"Catalana";"Patatas con alioli y romesco. Buñuelos de bacalao. Verduras de la tierra. Croquetas de pollo. Mejillones al vermut. Tatén de puerro escalivado. Cordero lechal con su salsa. Fricando con setas. Arroz de gamba y butifarra del perol. Calamar a la plancha con tomate. Pollo con cigalas.";"Original, Actual.";"Cocina Non Stop, Abierto en domingo, Acceso movilidad reducida.";"Unknown";"Unknown";9,8;225;30;5,42053499927229;75;TRUE;TRUE;TRUE;41,3775853;2,1780432;1,24038612696105;33754
"30";"RESTAURANTE DVENUS";"Carrer del Trobador, 22";"Barcelona";"08041";"Horta-Guinardó";"Colombiana, Latina, De fusión";"Moro de gandules con coco. Bandeja paisa. Bizcocho casero. Sancocho dominicano. Chicharrones con platano frito. Hamburguesa. Filete";"Informal, Bien calidad-precio.";"Terraza, Donde ver fútbol, Económico, Comida para llevar, Abierto en domingo, Acceso movilidad reducida, Ticket restaurant (tarjeta).";"Unknown";"Para amigos, Para grupos, Para jóvenes, Para familias.";9,8;146;20;4,99043258677874;30,5;TRUE;TRUE;TRUE;41,4150132;2,1778403;3,18468885702994;37000
"31";"RESTAURANTE ZAYTUN";"Carrer del Guadiana, 40";"Barcelona";"08014";"Sants";"Catalana, Andaluza, Internacional";"Brioche de mejillones. Pan con tomate. Tarta de queso. Aguacate con langostinos. Patatas. Presa ibérica. Cordero. Morcilla. Romesco. Salmorejo";"Informal.";"Amantes del vino, Ticket restaurant (tarjeta).";"Unknown";"Para grupos.";9,8;866;42,5;6,76503897678054;30;TRUE;TRUE;TRUE;41,3741098;2,1392612;2,94858239759485;37443
"32";"RESTAURANTE MEXITALY";"Carrer de Cartagena, 221";"Barcelona";"08013";"Eixample Dret";"Italiana. Pizzería., Mexicana";"Nachos especial. Queso fundido con chorizo. Jalapeños rellenos. Tacos de pollo con queso. Fajitas al pastor. Pizza margarita. Pizza salami. Pan de ajo y queso. Pizza xochimilco (vegetal). Pizza cochinita pibil. Pizza padrón. Tres leches con fresa. Tarta de queso. Pastel de elote.";"Informal, Bien calidad-precio, Actual.";"Comida para llevar, Abierto en domingo, Comida a domicilio.";"Carta a precio fijo";"Para amigos, Para jóvenes, Para familias.";9,8;30;30;3,43398720448515;43;TRUE;TRUE;TRUE;41,4064285;2,1803927;2,32729990387101;40008
"33";"RESTAURANTE MAGATZEM DE SES ILLES";"Carrer de Francisco Giner, 50";"Barcelona";"08012";"Gràcia";"Balear";"Patatas bravas. Ensaimada de chocolate. Pan con aceite i filete. Albondigas con salsa. Lengua a la vinagreta. Arroz con sepia. Escalivada";"Tradicional, Bien calidad-precio.";"Bodega bar.";"Carta a precio fijo";"Para amigos.";9,8;115;20;4,75359019110636;34;TRUE;TRUE;TRUE;41,3999137;2,1583155;1,74213897728244;43031
"34";"RESTAURANTE LA COCO";"Carrer d'Aulèstia i Pijoan, 6";"Barcelona";"08012";"Gràcia";"Japonesa, Mediterránea";"Croquetas de pollo. Salmón con wasabi. Tarta de te matcha. Molleja de ternera. Ostras. Ajo blanco con caballa. Calamares rellenos de carne. Arroz negro. Tostada de sardina";"Con encanto, Romántico.";"Abierto en domingo, Acceso movilidad reducida.";"Unknown";"Para grupos, Para amigos.";9,8;266;30;5,58724865840025;15;FALSE;TRUE;TRUE;41,4025404;2,1514533;2,32754752740634;43031
"35";"RESTAURANTE LA MADURADA PETIT VERSAILLES";"Carrer Gran de Sant Andreu, 255";"Barcelona";"08030";"Alrededores";"Brasería, Carnes, De autor, Mediterránea";"Steak tartar con yema confitada. Capraccio de solomillo de ternera trufado con parmesano. Croquetas de carrillera. Escalivada a la brasa con romesco. Empanada de carne madurada. Entrecot madurado. Chuletón de vaca Frisona. Entraña. Asado de ternera. Secreto ibérico. Colita de rape a la brasa con refrito. Salmón a la brasa con teriyaki.";"Original, Informal, Rústico, Actual.";"Unknown";"Unknown";"Para grupos, Para ir con niños, Para familias.";9,8;7288;42,5;8,89412164138221;81,5;TRUE;TRUE;TRUE;41,4352503;2,1896201;5,61299022298226;35224
"36";"RESTAURANTE THAT'S AMORE";"Carrer de Benavent, 23";"Barcelona";"08028";"Les Corts, Sants";"Italiana. Pizzería., Mediterránea";"Pizza Napoletana. Pizza Diavola. Pizza Cotto e Funghi. Pizza 4 quesos. Pizza Friarielli. Pizza Tartufo. Pizza Carbonara. Pizza Rosso di Sera. Pizza Pulcinella. Pizza la Carmine. Pizza That's Amore.";"Informal, Bien calidad-precio, Actual.";"Abierto en domingo.";"Carta a precio fijo";"Para grupos, Para amigos, Para ir con niños, Para familias.";9,8;1486;20;7,30451594646016;60;TRUE;TRUE;TRUE;41,3781353;2,1250431;3,89057843444193;41480
"37";"RESTAURANTE VIANA";"Carrer del Vidre, 7";"Barcelona";"08002";"Centro, El Gòtic";"Internacional";"Arroz carnaroli cremoso con setas de la temporada. Ceviche de marisco y pescado. Carpaccio de presa ibérica con virutas de provolone. Merluza de pincho con salsa de naranja sanguina y chips de espinacas y yuca.";"Informal, Bien calidad-precio, Actual.";"Abierto en domingo.";"Unknown";"Para jóvenes, Para familias.";9,8;6320;42,5;8,7516327024723;51;TRUE;TRUE;TRUE;41,3798805;2,1761037;0,937853355265609;33754
"38";"RESTAURANTE JOBS RESTAURANT BARCELONA";"Carrer de Mallorca, 170";"Barcelona";"08036";"Eixample Esquerre";"Mediterránea";"Ventresca de atún, tomates secos y oliva kalamata. Montadito salmón ahumado, mantequilla de eneldo y pan negro tostado. Tartar de atún con vinagreta oriental, manzana verde y rábano picante. Tataki de presa de vaca, patatas y pimientos de piquillo. Timbal de tortilla de patata.";"Informal, Con encanto, Actual.";"Unknown";"Unknown";"Para amigos.";9,8;243;30;5,4971682252932;31;FALSE;TRUE;TRUE;41,3886056;2,1557989;1,20769357637948;53717
"39";"RESTAURANTE EL RAIER";"Avinguda Madrid, 3";"La Pobla de Segur";"25500";"Alrededores";"Catalana";"Pastel de chocolate. Magnum de pollo ecologico. Boquerones con naranja y romero. Tortilla. Canelon de pollo. Milhojas de patata con pate de ave. Cerdo con huevos de tortilla";"Informal, Con encanto, Actual, Moderno y fashion.";"Grandes chefs, Abierto en domingo, Acceso movilidad reducida.";"Unknown";"Para grupos, Para amigos, Para familias.";9,8;521;30;6,25766758788264;17,5;TRUE;TRUE;TRUE;42,2497814;0,9661153;138,566857183566;49096,9785191956
"40";"RESTAURANTE EL RECTANGLE";"Carrer de Sepúlveda, 23";"Barcelona";"08015";"Sant Antoni";"Creativa";"Gildas. Croquetas. Bravas. Sardina fumada. Muslo de pollo. Filete. Calamar. Arroz crujiente.  Solomillo. Caballa. Ensalada de tomate azul. Berenjena. Cogollo a la brasa";"Informal.";"Platos para celíacos, Abierto en domingo, Ticket restaurant (tarjeta).";"Unknown";"Para grupos, Para ir con niños, Para familias.";9,8;489;42,5;6,19440539110467;24;TRUE;TRUE;TRUE;41,3764799;2,1534015;1,82120377104303;40775
"41";"RESTAURANTE MESHI-YA SAKAMOTO";"Carrer del Comte Borrell, 296";"Barcelona";"08029";"Eixample Esquerre";"Japonesa";"Pez águila. Pastel de te verde. Ostra con salsa ponzu. Sukiyaki. Tartar de toro con erizos. Dorayaki de judías. Rebozado de cerdo y langostinos. Niguiris. Maki de toro";"Informal, Bien calidad-precio.";"Terraza, Económico, Abierto en domingo, Ticket restaurant (tarjeta).";"Unknown";"Para grupos.";9,8;302;30;5,71373280550937;29,5;TRUE;TRUE;TRUE;41,3896499;2,1466405;1,98134856455294;50009
"42";"RESTAURANTE OIMA IL CROSTONE";"Carrer dels Escudellers, 42";"Barcelona";"08002";"El Raval";"Bocadillos";"Bocadillo de jamón ibérico. Bocadillo de jamón i queso. Bocadillo de pollo. Bocadillo de ternera. Bocadillo de tortilla. Bocadillo de chorizo. Bocadillo de salami. Bocadillo vegetal";"Informal, Bien calidad-precio.";"Económico, Comida para llevar, Abierto en domingo, Comida a domicilio, Acceso movilidad reducida.";"Unknown";"Para grupos, Para amigos, Para ir con niños, Para jóvenes, Para familias.";9,8;1941;20;7,57147364885127;60;TRUE;TRUE;TRUE;41,3802824;2,1773136;0,96031901396639;33754
